epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,526.748,1.48712,4.5806,1.81611,0.39695,0.43252,0.33197,0.19348,1.32434,4.10235,1.82877,8.33097e-05,8.33097e-05,8.33097e-05
2,1041.36,1.35596,3.49484,1.66076,0.55836,0.7025,0.68411,0.44883,1.18802,3.24441,1.68667,0.000133648,0.000133648,0.000133648
3,1538.05,1.29558,2.87613,1.60192,0.74597,0.81289,0.86254,0.58017,1.10611,3.3702,1.62434,0.000150986,0.000150986,0.000150986
4,1998.9,1.22838,2.45854,1.55018,0.83352,0.88727,0.92408,0.64296,1.05937,2.50287,1.57358,0.0001015,0.0001015,0.0001015
5,2511.06,1.1688,2.1614,1.50008,0.87811,0.92051,0.9529,0.67556,1.01699,2.20066,1.5281,5.2e-05,5.2e-05,5.2e-05
