epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,12828.9,0.78926,0.39781,1.2816,0.98309,0.99356,0.99178,0.78019,0.84719,0.39269,1.36438,5.2e-05,5.2e-05,5.2e-05
42,13144.9,0.77673,0.38442,1.26847,0.98591,0.99372,0.99204,0.78164,0.85031,0.38494,1.36753,4.705e-05,4.705e-05,4.705e-05
43,13450.1,0.77249,0.37584,1.25842,0.98371,0.99369,0.99173,0.78623,0.84086,0.37974,1.36175,4.21e-05,4.21e-05,4.21e-05
44,13759.7,0.7646,0.36984,1.25767,0.98694,0.99257,0.99209,0.78773,0.84067,0.37288,1.35952,3.715e-05,3.715e-05,3.715e-05
45,14071.4,0.75258,0.36236,1.24518,0.98451,0.99291,0.99213,0.78869,0.83997,0.37274,1.35927,3.22e-05,3.22e-05,3.22e-05
46,14387.7,0.74825,0.35862,1.24658,0.98737,0.9892,0.99232,0.78766,0.83835,0.36905,1.35975,2.725e-05,2.725e-05,2.725e-05
47,14712.8,0.74451,0.35469,1.24006,0.98876,0.98828,0.99232,0.78923,0.83902,0.36708,1.36005,2.23e-05,2.23e-05,2.23e-05
48,15031.9,0.73627,0.35135,1.23555,0.98731,0.99038,0.99225,0.78963,0.83568,0.36371,1.3565,1.735e-05,1.735e-05,1.735e-05
49,15350.6,0.72551,0.34776,1.22519,0.98829,0.98889,0.99225,0.79146,0.8352,0.3631,1.3569,1.24e-05,1.24e-05,1.24e-05
50,15663.2,0.72752,0.34499,1.22356,0.98841,0.98843,0.99228,0.79094,0.83502,0.36185,1.35737,7.45e-06,7.45e-06,7.45e-06
